,CD8_T_cells,CD4_T_cells,T_regulatory,NK_cells,B_cells,Macrophages_M1,Macrophages_M2,Dendritic_cells,Neutrophils,Mast_cells,Exhaustion,IFN_gamma
TCGA-B8-4146,0.2533306044885281,-0.09808934961912698,0.2611232127448914,0.018623809264300788,-0.5375208731210324,0.5056684587217192,0.8502869754063509,-0.28752330607202786,-0.6688857754288821,-0.3048352601902407,0.9860893235251049,1.9974290692769585
TCGA-BP-4977,-0.6167646168924289,-0.25341898391539386,0.020773974830391256,-0.5099957670843617,-0.5285533130661223,-0.22378284612128047,0.1041136750006966,-0.13206408655629562,0.933724972775494,0.008656059086221845,-0.249978354669619,-0.37908144175380865
TCGA-BP-4981,-0.42902001002127604,-1.1472232021439281,-0.7658289333955773,-0.1583295319111008,-0.8260065537182996,-0.66832794384125,-1.3119916781051888,-0.7919148369240366,-1.0456690865363552,-1.3565841327769732,-0.8145454894722451,-0.8494643453940443
TCGA-CJ-5675,1.4943519441489488,0.6967208386361915,0.23540901307313064,0.2942573947050447,0.02672110793064863,0.35833655853835783,0.15213802790179307,0.2450602503592091,0.09272694087512029,-0.46898313154950116,1.5604036777424972,1.254280334952342
TCGA-B0-4845,-1.1633166936122896,-0.52218899142774,-0.6575000228118375,-0.8849307223158044,-0.3860216111046326,-0.14905340605501777,-0.4649153709181899,-0.4621986084878608,0.03343671363811027,0.09169744082494792,-0.8740934892973848,-0.8944127328421454
TCGA-B4-5377,-0.012930098377965143,0.1352398093304699,0.24160922139649163,-0.4152756816891254,0.042593794511833524,-0.2164364813311647,0.46614819216893194,0.08139414557890738,0.14872652406905454,-0.4885271095421441,0.3569267337212198,0.5029991473659935
TCGA-B8-5163,0.6267667231239666,1.2624110248641796,1.4708085763920629,0.5394673068134164,-0.024471366415356022,0.5533980956936814,1.4265062159660569,-0.42513782709140635,0.38642760815676386,-0.01969792573563023,0.8948236360007945,1.2487317010905528
TCGA-B0-5092,1.7385059231573572,0.9499088522136916,1.4059927459385138,0.5429862209475687,-0.1891065039753363,0.09135924171566132,-0.37881452706059976,0.8840188385792821,-0.563229230087681,0.1717938016208115,1.4600731064367376,1.163966433222468
TCGA-AK-3458,0.12947059901499497,-0.6792471778962508,-0.3433707792711436,1.1912607379993625,0.2160067112512726,-1.0115842427779105,-0.807139532443337,0.23528850920908165,0.5118352359985696,0.2244177341040898,-0.52134442084109,-0.5635714178164364
TCGA-BP-4161,0.9821341162133667,0.5775884223044262,1.230067898344732,1.022501006848804,0.6673515144880428,0.7895729781287658,0.42238775172927034,0.9318111353856379,0.484237537533396,-0.4533800076839453,0.9795945732817019,1.1023312596692718
